,date,open,high,low,close,volume
102,20201207  12:30:00,170.07,170.135,169.68,169.77,-1
103,20201207  12:35:00,169.77,169.94,169.705,169.92,-1
104,20201207  12:40:00,169.92,170.01,169.705,169.92,-1
105,20201207  12:45:00,169.92,169.94,169.725,169.76,-1
106,20201207  12:50:00,169.76,169.935,169.655,169.68,-1
107,20201207  12:55:00,169.68,169.705,169.455,169.475,-1
108,20201207  13:00:00,169.475,169.555,169.24,169.295,-1
109,20201207  13:05:00,169.295,169.315,168.905,169.18,-1
110,20201207  13:10:00,169.18,169.18,168.87,168.98,-1
111,20201207  13:15:00,168.98,169.19,168.805,169.11,-1
112,20201207  13:20:00,169.11,169.225,168.91,169.125,-1
113,20201207  13:25:00,169.125,169.325,169.095,169.185,-1
114,20201207  13:30:00,169.185,169.445,169.115,169.355,-1
115,20201207  13:35:00,169.355,169.39,168.745,169.01,-1
116,20201207  13:40:00,169.01,169.07,168.45,168.57,-1
117,20201207  13:45:00,168.57,168.845,168.44,168.73,-1
118,20201207  13:50:00,168.73,169.235,168.725,169.22,-1
119,20201207  13:55:00,169.22,169.495,169.095,169.345,-1
120,20201207  14:00:00,169.345,169.35,168.81,168.83,-1
121,20201207  14:05:00,168.83,169.44,168.765,169.4,-1
122,20201207  14:10:00,169.4,169.485,169.3,169.325,-1
123,20201207  14:15:00,169.325,169.635,169.085,169.545,-1
124,20201207  14:20:00,169.545,169.825,169.48,169.775,-1
125,20201207  14:25:00,169.775,169.81,169.54,169.63,-1
126,20201207  14:30:00,169.63,169.805,169.505,169.615,-1
127,20201207  14:35:00,169.615,169.885,169.525,169.81,-1
128,20201207  14:40:00,169.81,170.045,169.705,170.005,-1
129,20201207  14:45:00,170.005,170.12,169.97,170.06,-1
130,20201207  14:50:00,170.06,170.095,169.865,169.875,-1
131,20201207  14:55:00,169.875,170.005,169.685,169.82,-1
132,20201207  15:00:00,169.82,169.925,169.605,169.655,-1
133,20201207  15:05:00,169.655,169.855,169.445,169.74,-1
134,20201207  15:10:00,169.74,169.84,169.33,169.38,-1
135,20201207  15:15:00,169.38,169.985,169.375,169.96,-1
136,20201207  15:20:00,169.96,169.985,169.625,169.96,-1
137,20201207  15:25:00,169.96,170.23,169.915,169.95,-1
138,20201207  15:30:00,169.95,170.185,169.915,170.14,-1
139,20201207  15:35:00,170.14,170.175,169.835,169.95,-1
140,20201207  15:40:00,169.95,170.01,169.06,169.33,-1
141,20201207  15:45:00,169.33,169.49,168.65,168.865,-1
142,20201207  15:50:00,168.865,169.775,168.7,169.745,-1
143,20201207  15:55:00,169.745,170.545,169.725,170.445,-1
144,20201207  16:00:00,170.445,170.675,170.115,170.355,-1
145,20201207  16:05:00,170.355,170.4,170.105,170.37,-1
146,20201207  16:10:00,170.37,170.44,170.085,170.285,-1
147,20201207  16:15:00,170.285,170.34,170.215,170.275,-1
148,20201207  16:20:00,170.275,170.275,170.275,170.275,-1
149,20201207  16:25:00,170.275,170.275,170.275,170.275,-1
150,20201207  16:30:00,170.275,170.295,170.155,170.185,-1
151,20201207  16:35:00,170.185,170.215,169.985,170.055,-1
152,20201207  16:40:00,170.055,170.13,170.02,170.05,-1
153,20201207  16:45:00,170.05,170.075,169.48,169.54,-1
154,20201207  16:50:00,169.54,169.68,169.175,169.24,-1
155,20201207  16:55:00,169.24,169.42,169.095,169.42,-1
156,20201207  17:00:00,169.42,169.47,169.395,169.415,-1
157,20201207  17:05:00,169.415,169.47,169.415,169.415,-1
158,20201207  17:10:00,169.415,169.415,169.415,169.415,-1
159,20201207  17:15:00,169.415,169.45,169.405,169.45,-1
160,20201207  17:20:00,169.45,169.53,169.425,169.53,-1
161,20201207  17:25:00,169.53,169.655,169.53,169.655,-1
162,20201207  17:30:00,169.655,169.66,169.615,169.615,-1
163,20201207  17:35:00,169.615,169.625,169.61,169.61,-1
164,20201207  17:40:00,169.61,169.645,169.61,169.615,-1
165,20201207  17:45:00,169.615,169.645,169.525,169.525,-1
166,20201207  17:50:00,169.525,169.525,169.45,169.45,-1
167,20201207  17:55:00,169.45,169.58,169.425,169.575,-1
168,20201207  18:00:00,169.575,169.75,169.405,169.675,-1
169,20201207  18:05:00,169.675,169.785,169.57,169.725,-1
170,20201207  18:10:00,169.725,169.785,169.665,169.695,-1
171,20201207  18:15:00,169.695,169.79,169.68,169.755,-1
172,20201207  18:20:00,169.755,169.815,169.73,169.76,-1
