,reqid,date,open,high,low,close,volume
359,4105,20201211  13:25:00,5.8,5.9,5.75,5.9,-1
360,4105,20201211  13:30:00,5.9,6.1,5.9,6.1,-1
361,4105,20201211  13:35:00,6.1,6.4,6.1,6.35,-1
362,4105,20201211  13:40:00,6.35,6.45,6.2,6.3,-1
363,4105,20201211  13:45:00,6.3,6.35,6.2,6.3,-1
364,4105,20201211  13:50:00,6.3,6.55,6.3,6.55,-1
365,4105,20201211  13:55:00,6.55,6.85,6.5,6.55,-1
366,4105,20201211  14:00:00,6.55,6.6,6.4,6.5,-1
367,4105,20201211  14:05:00,6.5,6.65,6.5,6.6,-1
368,4105,20201211  14:10:00,6.6,6.7,6.55,6.55,-1
369,4105,20201211  14:15:00,6.55,6.75,6.5,6.65,-1
370,4105,20201211  14:20:00,6.65,6.75,6.55,6.65,-1
371,4105,20201211  14:25:00,6.65,6.7,6.55,6.65,-1
372,4105,20201211  14:30:00,6.65,7.05,6.65,6.95,-1
373,4105,20201211  14:35:00,6.95,6.95,6.85,6.85,-1
374,4105,20201211  14:40:00,6.85,6.95,6.75,6.9,-1
375,4105,20201211  14:45:00,6.9,7.05,6.85,6.9,-1
376,4105,20201211  14:50:00,6.9,7.0,6.65,6.65,-1
377,4105,20201211  14:55:00,6.65,6.75,6.6,6.65,-1
378,4105,20201211  15:00:00,6.65,6.85,6.4,6.4,-1
379,4105,20201211  15:05:00,6.4,6.55,6.4,6.45,-1
380,4105,20201211  15:10:00,6.45,6.7,6.45,6.65,-1
381,4105,20201211  15:15:00,6.65,7.4,6.65,7.25,-1
382,4105,20201211  15:20:00,7.25,7.25,6.85,6.85,-1
383,4105,20201211  15:25:00,6.85,7.0,6.85,6.85,-1
384,4105,20201211  15:30:00,6.85,6.95,6.7,6.8,-1
385,4105,20201211  15:35:00,6.8,6.9,6.8,6.85,-1
386,4105,20201211  15:40:00,6.85,7.0,6.75,6.75,-1
