,date,open,high,low,close,volume
144,20201207  16:00:00,123.78,123.82,123.59,123.805,-1
145,20201207  16:05:00,123.805,123.835,123.765,123.8,-1
146,20201207  16:10:00,123.8,123.845,123.765,123.795,-1
147,20201207  16:15:00,123.795,123.795,123.755,123.755,-1
148,20201207  16:20:00,123.755,123.765,123.755,123.755,-1
149,20201207  16:25:00,123.755,123.765,123.755,123.765,-1
150,20201207  16:30:00,123.765,123.795,123.765,123.795,-1
151,20201207  16:35:00,123.795,123.795,123.735,123.775,-1
152,20201207  16:40:00,123.775,123.775,123.75,123.765,-1
153,20201207  16:45:00,123.765,123.785,123.66,123.69,-1
154,20201207  16:50:00,123.69,123.7,123.505,123.545,-1
155,20201207  16:55:00,123.545,123.62,123.525,123.585,-1
156,20201207  17:00:00,123.585,123.605,123.58,123.605,-1
157,20201207  17:05:00,123.605,123.66,123.6,123.63,-1
158,20201207  17:10:00,123.63,123.66,123.595,123.595,-1
159,20201207  17:15:00,123.595,123.595,123.565,123.565,-1
160,20201207  17:20:00,123.565,123.565,123.555,123.555,-1
161,20201207  17:25:00,123.555,123.565,123.55,123.565,-1
162,20201207  17:30:00,123.565,123.565,123.56,123.565,-1
163,20201207  17:35:00,123.565,123.585,123.56,123.565,-1
164,20201207  17:40:00,123.565,123.725,123.56,123.725,-1
165,20201207  17:45:00,123.725,123.73,123.585,123.59,-1
166,20201207  17:50:00,123.59,123.6,123.585,123.6,-1
167,20201207  17:55:00,123.6,123.645,123.58,123.62,-1
168,20201207  18:00:00,123.62,123.62,123.585,123.61,-1
169,20201207  18:05:00,123.61,123.665,123.6,123.63,-1
170,20201207  18:10:00,123.63,123.665,123.61,123.63,-1
