,date,open,high,low,close,volume
102,20201207  12:30:00,58.765,58.775,58.615,58.655,-1
103,20201207  12:35:00,58.655,58.765,58.625,58.725,-1
104,20201207  12:40:00,58.725,58.815,58.615,58.745,-1
105,20201207  12:45:00,58.745,58.775,58.655,58.705,-1
106,20201207  12:50:00,58.705,58.835,58.685,58.735,-1
107,20201207  12:55:00,58.735,58.865,58.705,58.705,-1
108,20201207  13:00:00,58.705,58.705,58.505,58.57,-1
109,20201207  13:05:00,58.57,58.605,58.405,58.44,-1
110,20201207  13:10:00,58.44,58.515,58.365,58.405,-1
111,20201207  13:15:00,58.405,58.455,58.355,58.435,-1
112,20201207  13:20:00,58.435,58.615,58.385,58.6,-1
113,20201207  13:25:00,58.6,58.615,58.385,58.39,-1
114,20201207  13:30:00,58.39,58.5,58.305,58.48,-1
115,20201207  13:35:00,58.48,58.605,58.405,58.455,-1
116,20201207  13:40:00,58.455,58.455,58.145,58.165,-1
117,20201207  13:45:00,58.165,58.275,58.085,58.24,-1
118,20201207  13:50:00,58.24,58.305,58.215,58.305,-1
119,20201207  13:55:00,58.305,58.425,58.255,58.265,-1
120,20201207  14:00:00,58.265,58.275,57.93,57.98,-1
121,20201207  14:05:00,57.98,58.315,57.98,58.315,-1
122,20201207  14:10:00,58.315,58.315,58.105,58.195,-1
123,20201207  14:15:00,58.195,58.235,58.115,58.13,-1
124,20201207  14:20:00,58.13,58.175,58.055,58.085,-1
125,20201207  14:25:00,58.085,58.19,58.045,58.165,-1
126,20201207  14:30:00,58.165,58.345,58.165,58.245,-1
127,20201207  14:35:00,58.245,58.305,58.165,58.245,-1
128,20201207  14:40:00,58.245,58.395,58.235,58.385,-1
129,20201207  14:45:00,58.385,58.495,58.34,58.49,-1
130,20201207  14:50:00,58.49,58.555,58.425,58.455,-1
131,20201207  14:55:00,58.455,58.495,58.375,58.415,-1
132,20201207  15:00:00,58.415,58.465,58.275,58.395,-1
133,20201207  15:05:00,58.395,58.415,58.255,58.255,-1
134,20201207  15:10:00,58.255,58.325,58.215,58.25,-1
135,20201207  15:15:00,58.25,58.525,58.245,58.515,-1
136,20201207  15:20:00,58.515,58.525,58.395,58.445,-1
137,20201207  15:25:00,58.445,58.595,58.415,58.575,-1
138,20201207  15:30:00,58.575,58.735,58.535,58.585,-1
139,20201207  15:35:00,58.585,58.735,58.56,58.655,-1
140,20201207  15:40:00,58.655,58.665,58.225,58.385,-1
141,20201207  15:45:00,58.385,58.475,58.025,58.175,-1
142,20201207  15:50:00,58.175,58.585,58.145,58.57,-1
143,20201207  15:55:00,58.57,58.645,58.365,58.525,-1
144,20201207  16:00:00,58.525,58.625,58.36,58.375,-1
145,20201207  16:05:00,58.375,58.435,58.32,58.42,-1
146,20201207  16:10:00,58.42,58.47,58.345,58.47,-1
147,20201207  16:15:00,58.47,58.47,58.33,58.375,-1
148,20201207  16:20:00,58.375,58.405,58.33,58.375,-1
149,20201207  16:25:00,58.375,58.375,58.37,58.375,-1
150,20201207  16:30:00,58.375,58.51,58.36,58.48,-1
151,20201207  16:35:00,58.48,58.53,58.44,58.495,-1
152,20201207  16:40:00,58.495,58.51,58.415,58.435,-1
153,20201207  16:45:00,58.435,58.435,58.105,58.13,-1
154,20201207  16:50:00,58.13,58.14,58.005,58.005,-1
155,20201207  16:55:00,58.005,58.005,57.74,57.985,-1
156,20201207  17:00:00,57.985,58.015,57.81,57.995,-1
157,20201207  17:05:00,57.995,57.995,57.915,57.93,-1
158,20201207  17:10:00,57.93,57.94,57.93,57.94,-1
159,20201207  17:15:00,57.94,57.955,57.94,57.955,-1
160,20201207  17:20:00,57.955,57.965,57.955,57.965,-1
161,20201207  17:25:00,57.965,58.03,57.96,58.03,-1
162,20201207  17:30:00,58.03,58.045,57.985,57.985,-1
163,20201207  17:35:00,57.985,57.995,57.985,57.99,-1
164,20201207  17:40:00,57.99,58.015,57.99,58.015,-1
165,20201207  17:45:00,58.015,58.025,58.01,58.01,-1
166,20201207  17:50:00,58.01,58.025,58.01,58.025,-1
167,20201207  17:55:00,58.025,58.025,58.01,58.025,-1
168,20201207  18:00:00,58.025,58.025,57.9,57.93,-1
169,20201207  18:05:00,57.93,57.965,57.905,57.92,-1
170,20201207  18:10:00,57.92,57.93,57.865,57.9,-1
171,20201207  18:15:00,57.9,57.945,57.9,57.91,-1
172,20201207  18:20:00,57.91,57.93,57.885,57.92,-1
173,20201207  18:25:00,57.92,57.95,57.92,57.945,-1
174,20201207  18:30:00,57.945,58.09,57.94,58.085,-1
175,20201207  18:35:00,58.085,58.09,58.06,58.06,-1
176,20201207  18:40:00,58.06,58.14,58.045,58.135,-1
177,20201207  18:45:00,58.135,58.135,58.035,58.05,-1
178,20201207  18:50:00,58.05,58.1,57.905,57.955,-1
179,20201207  18:55:00,57.955,57.99,57.925,57.97,-1
180,20201207  19:00:00,57.97,57.98,57.755,57.815,-1
181,20201207  19:05:00,57.815,57.865,57.8,57.825,-1
182,20201207  19:10:00,57.825,57.925,57.805,57.81,-1
183,20201207  19:15:00,57.81,57.915,57.81,57.835,-1
184,20201207  19:20:00,57.835,57.925,57.835,57.92,-1
185,20201207  19:25:00,57.92,57.92,57.85,57.89,-1
186,20201207  19:30:00,57.89,58.025,57.89,58.025,-1
187,20201207  19:35:00,58.025,58.025,57.965,57.965,-1
188,20201207  19:40:00,57.965,57.995,57.95,57.97,-1
189,20201207  19:45:00,57.97,58.03,57.97,58.03,-1
190,20201207  19:50:00,58.03,58.04,57.975,57.98,-1
191,20201207  19:55:00,57.98,57.985,57.78,57.93,-1
