,date,open,high,low,close,volume
89,20201207  11:25:00,126.21,126.28,126.09,126.27,-1
90,20201207  11:30:00,126.27,126.335,126.195,126.305,-1
91,20201207  11:35:00,126.305,126.33,126.2,126.28,-1
92,20201207  11:40:00,126.28,126.295,126.09,126.145,-1
93,20201207  11:45:00,126.145,126.245,126.115,126.195,-1
94,20201207  11:50:00,126.195,126.195,126.045,126.11,-1
95,20201207  11:55:00,126.11,126.11,125.885,125.985,-1
96,20201207  12:00:00,125.985,126.02,125.9,125.96,-1
97,20201207  12:05:00,125.96,126.055,125.92,126.035,-1
98,20201207  12:10:00,126.035,126.035,125.88,125.88,-1
99,20201207  12:15:00,125.88,126.015,125.825,125.995,-1
100,20201207  12:20:00,125.995,125.995,125.765,125.795,-1
101,20201207  12:25:00,125.795,125.87,125.755,125.805,-1
102,20201207  12:30:00,125.805,125.815,125.665,125.78,-1
103,20201207  12:35:00,125.78,125.835,125.76,125.83,-1
104,20201207  12:40:00,125.83,125.835,125.755,125.785,-1
105,20201207  12:45:00,125.785,125.835,125.73,125.74,-1
106,20201207  12:50:00,125.74,125.78,125.565,125.59,-1
107,20201207  12:55:00,125.59,125.695,125.585,125.6,-1
108,20201207  13:00:00,125.6,125.605,125.525,125.56,-1
109,20201207  13:05:00,125.56,125.59,125.49,125.58,-1
110,20201207  13:10:00,125.58,125.64,125.45,125.46,-1
111,20201207  13:15:00,125.46,125.61,125.405,125.575,-1
112,20201207  13:20:00,125.575,125.71,125.545,125.685,-1
113,20201207  13:25:00,125.685,125.685,125.56,125.575,-1
114,20201207  13:30:00,125.575,125.63,125.435,125.47,-1
115,20201207  13:35:00,125.47,125.565,125.44,125.465,-1
116,20201207  13:40:00,125.465,125.465,125.33,125.38,-1
117,20201207  13:45:00,125.38,125.505,125.375,125.42,-1
118,20201207  13:50:00,125.42,125.485,125.34,125.48,-1
119,20201207  13:55:00,125.48,125.48,125.375,125.39,-1
120,20201207  14:00:00,125.39,125.425,125.28,125.32,-1
121,20201207  14:05:00,125.32,125.435,125.32,125.415,-1
122,20201207  14:10:00,125.415,125.415,125.215,125.215,-1
123,20201207  14:15:00,125.215,125.24,125.055,125.065,-1
124,20201207  14:20:00,125.065,125.125,124.945,125.02,-1
125,20201207  14:25:00,125.02,125.19,124.99,125.01,-1
126,20201207  14:30:00,125.01,125.095,124.97,125.03,-1
127,20201207  14:35:00,125.03,125.105,125.03,125.095,-1
128,20201207  14:40:00,125.095,125.105,125.005,125.065,-1
129,20201207  14:45:00,125.065,125.165,125.055,125.165,-1
130,20201207  14:50:00,125.165,125.165,125.065,125.07,-1
131,20201207  14:55:00,125.07,125.12,124.985,125.025,-1
132,20201207  15:00:00,125.025,125.025,124.88,124.91,-1
133,20201207  15:05:00,124.91,124.95,124.885,124.93,-1
